Sentence|Gloss
雪解けのseasonには川の水量が増えて流れが速くなります。|During the snowmelt season, river water levels rise and the current becomes swift.
このcreamを塗ると、肌がすぐに落ち着きます。|When I apply this cream, my skin calms down right away.
先生はstressが原因だとおっしゃっていました。|The doctor said stress was the cause.
手術の後、recoveryがとても早かったです。|After the surgery, my recovery was very fast.
もう少しwater intakeを増やした方がいいですよ。|You should increase your water intake a little more.
今日のexaminationの結果はどうでしたか？|How were the results of today's examination?
彼女はallergy持ちなので、花粉の季節がつらそうです。|She has allergies, so pollen season seems tough for her.
このsymptomは三日前から続いています。|This symptom has been going on for three days.
薬を飲む前に食事をしっかり取るのがimportantです。|It's important to eat a proper meal before taking medicine.
体重をhealthyな範囲に保つのは難しいですね。|It's hard to keep your weight in a healthy range, isn't it.
病院でvaccineを打ってもらいました。|I got vaccinated at the hospital.
毎晩のsleepの質が最近ずいぶん良くなりました。|The quality of my nightly sleep has improved quite a bit lately.
このcapsuleは一日一錠でいいですか？|Is one capsule per day enough for this?
彼のposture がひどくて、肩こりがひどいそうです。|His posture is terrible, and apparently he has bad shoulder stiffness.
wound がまだ完全に治っていないので、無理はしないでください。|The wound hasn't fully healed yet, so please don't push yourself.
栄養のbalanceを考えた食事が大切です。|A diet that considers nutritional balance is important.
この薬はside effectsが少ないと言われています。|This medicine is said to have few side effects.
彼女はmental healthをとても大事にしています。|She takes her mental health very seriously.
先週のblood testの結果が届きました。|The results from last week's blood test arrived.
もっとfiberを食事に取り入れるといいですよ。|You should incorporate more fiber into your diet.
最近、どうもimmuneが弱っている気がします。|Lately, I feel like my immune system is weakened.
このinhaler は喘息の発作にすぐ効きます。|This inhaler works quickly for asthma attacks.
骨密度を高めるためにcalciumを摂るようにしています。|I try to take in calcium to increase bone density.
hydrationが不十分だと頭痛が起きやすいです。|Insufficient hydration can easily cause headaches.
体がache するほど昨日は働きすぎてしまいました。|I overworked myself yesterday to the point of body aches.
定期的なcheck-upを受けることをお勧めします。|I recommend getting regular check-ups.
彼はchronicな腰痛で、ずっと苦労しています。|He has been struggling with chronic lower back pain for a long time.
このdietは医師の指導のもとで行っています。|I am following this diet under a doctor's guidance.
心臓のrhythmが少し乱れていると言われました。|I was told my heart rhythm is slightly irregular.
このvitaminは食後に飲んでください。|Please take this vitamin after meals.
昨日の夜は体がfeverっぽくて眠れませんでした。|Last night my body felt feverish and I couldn't sleep.
ambulanceを呼ぶべきか、とても迷いました。|I was very unsure whether I should call an ambulance.
このsupplementは疲労回復に効くらしいです。|Apparently this supplement is effective for recovering from fatigue.
腕にpatchを貼るだけで薬が吸収されるそうです。|Apparently the medicine gets absorbed just by sticking a patch on your arm.
